date,home,away,hscore,ascore
2022/03/25,読　売,中　日,4,2
2022/03/25,横浜DeNA,広島東洋,3,11
2022/03/25,阪　神,東京ヤクルト,8,10
2022/03/25,東北楽天,千葉ロッテ,0,4
2022/03/25,埼玉西武,オリックス,0,6
2022/03/25,福岡ソフトバンク,北海道日本ハム,4,1
2022/03/26,読　売,中　日,7,5
2022/03/26,横浜DeNA,広島東洋,5,10
2022/03/26,阪　神,東京ヤクルト,0,6
2022/03/26,埼玉西武,オリックス,5,0
2022/03/26,福岡ソフトバンク,北海道日本ハム,6,3
2022/03/27,読　売,中　日,5,7
2022/03/27,横浜DeNA,広島東洋,6,7
2022/03/27,阪　神,東京ヤクルト,0,4
2022/03/27,東北楽天,千葉ロッテ,6,5
2022/03/27,埼玉西武,オリックス,7,6
2022/03/27,福岡ソフトバンク,北海道日本ハム,6,4
2022/03/29,東京ヤクルト,読　売,3,5
2022/03/29,中　日,横浜DeNA,0,4
2022/03/29,広島東洋,阪　神,3,2
2022/03/29,北海道日本ハム,埼玉西武,0,4
2022/03/29,千葉ロッテ,福岡ソフトバンク,1,2
2022/03/29,オリックス,東北楽天,1,2
2022/03/30,東京ヤクルト,読　売,1,3
2022/03/30,中　日,横浜DeNA,6,7
2022/03/30,広島東洋,阪　神,8,3
2022/03/30,北海道日本ハム,埼玉西武,3,5
2022/03/30,千葉ロッテ,福岡ソフトバンク,3,4
2022/03/30,オリックス,東北楽天,1,6
2022/03/31,東京ヤクルト,読　売,3,6
2022/03/31,中　日,横浜DeNA,0,1
2022/03/31,広島東洋,阪　神,3,2
2022/03/31,北海道日本ハム,埼玉西武,6,2
2022/03/31,千葉ロッテ,福岡ソフトバンク,1,3
2022/03/31,オリックス,東北楽天,0,1
2022/04/01,読　売,阪　神,6,5
2022/04/01,東京ヤクルト,横浜DeNA,1,6
2022/04/01,中　日,広島東洋,3,2
2022/04/01,東北楽天,福岡ソフトバンク,0,1
2022/04/01,千葉ロッテ,埼玉西武,2,1
2022/04/01,オリックス,北海道日本ハム,2,0
2022/04/02,読　売,阪　神,5,4
2022/04/02,東京ヤクルト,横浜DeNA,3,2
2022/04/02,中　日,広島東洋,4,3
2022/04/02,東北楽天,福岡ソフトバンク,,
2022/04/02,千葉ロッテ,埼玉西武,8,1
2022/04/02,オリックス,北海道日本ハム,7,0
2022/04/03,読　売,阪　神,9,5
2022/04/03,東京ヤクルト,横浜DeNA,,
2022/04/03,中　日,広島東洋,1,0
2022/04/03,千葉ロッテ,埼玉西武,4,2
2022/04/03,オリックス,北海道日本ハム,4,2
2022/04/05,東京ヤクルト,中　日,6,7
2022/04/05,阪　神,横浜DeNA,4,0
2022/04/05,広島東洋,読　売,3,1
2022/04/05,北海道日本ハム,千葉ロッテ,0,2
2022/04/05,東北楽天,埼玉西武,7,3
2022/04/05,福岡ソフトバンク,オリックス,6,3
2022/04/06,東京ヤクルト,中　日,2,1
2022/04/06,阪　神,横浜DeNA,1,6
2022/04/06,広島東洋,読　売,1,2
2022/04/06,北海道日本ハム,千葉ロッテ,3,2
2022/04/06,東北楽天,埼玉西武,7,2
2022/04/06,福岡ソフトバンク,オリックス,1,3
2022/04/07,東京ヤクルト,中　日,3,11
2022/04/07,阪　神,横浜DeNA,,
2022/04/07,広島東洋,読　売,9,2
2022/04/07,福岡ソフトバンク,オリックス,7,3
2022/04/08,読　売,東京ヤクルト,2,7
2022/04/08,横浜DeNA,中　日,,
2022/04/08,阪　神,広島東洋,3,3
2022/04/08,北海道日本ハム,東北楽天,0,3
2022/04/08,埼玉西武,福岡ソフトバンク,1,8
2022/04/08,千葉ロッテ,オリックス,5,0
2022/04/09,読　売,東京ヤクルト,3,2
2022/04/09,阪　神,広島東洋,1,9
2022/04/09,北海道日本ハム,東北楽天,5,8
2022/04/09,埼玉西武,福岡ソフトバンク,0,0
2022/04/09,千葉ロッテ,オリックス,2,4
2022/04/10,読　売,東京ヤクルト,1,2
2022/04/10,阪　神,広島東洋,0,1
2022/04/10,北海道日本ハム,東北楽天,3,2
2022/04/10,埼玉西武,福岡ソフトバンク,6,0
2022/04/10,千葉ロッテ,オリックス,6,0
2022/04/12,読　売,横浜DeNA,10,4
2022/04/12,東京ヤクルト,広島東洋,3,1
2022/04/12,中　日,阪　神,2,1
2022/04/12,埼玉西武,北海道日本ハム,0,3
2022/04/12,福岡ソフトバンク,千葉ロッテ,0,3
2022/04/13,読　売,横浜DeNA,4,3
2022/04/13,東京ヤクルト,広島東洋,1,5
2022/04/13,中　日,阪　神,1,0
2022/04/13,埼玉西武,北海道日本ハム,4,3
2022/04/14,中　日,阪　神,4,1
2022/04/14,福岡ソフトバンク,千葉ロッテ,4,0
2022/04/15,横浜DeNA,東京ヤクルト,2,3
2022/04/15,阪　神,読　売,4,1
