date,home,away,hscore,ascore
2019/03/29,横浜DeNA,中　日,8,1
2019/03/29,阪　神,東京ヤクルト,2,1
2019/03/29,広島東洋,読　売,5,0
2019/03/29,北海道日本ハム,オリックス,7,3
2019/03/29,千葉ロッテ,東北楽天,5,4
2019/03/29,福岡ソフトバンク,埼玉西武,5,4
2019/03/30,横浜DeNA,中　日,1,9
2019/03/30,阪　神,東京ヤクルト,1,0
2019/03/30,広島東洋,読　売,2,5
2019/03/30,北海道日本ハム,オリックス,4,4
2019/03/30,千葉ロッテ,東北楽天,3,9
2019/03/30,福岡ソフトバンク,埼玉西武,6,5
2019/03/31,横浜DeNA,中　日,3,2
2019/03/31,阪　神,東京ヤクルト,1,2
2019/03/31,広島東洋,読　売,3,6
2019/03/31,北海道日本ハム,オリックス,3,1
2019/03/31,千葉ロッテ,東北楽天,4,9
2019/03/31,福岡ソフトバンク,埼玉西武,3,1
2019/04/02,読　売,阪　神,9,3
2019/04/02,東京ヤクルト,横浜DeNA,5,2
2019/04/02,中　日,広島東洋,7,4
2019/04/02,東北楽天,北海道日本ハム,3,1
2019/04/02,埼玉西武,千葉ロッテ,7,4
2019/04/02,オリックス,福岡ソフトバンク,4,11
2019/04/03,読　売,阪　神,6,3
2019/04/03,東京ヤクルト,横浜DeNA,5,4
2019/04/03,中　日,広島東洋,2,3
2019/04/03,東北楽天,北海道日本ハム,3,2
2019/04/03,埼玉西武,千葉ロッテ,9,3
2019/04/03,オリックス,福岡ソフトバンク,0,0
2019/04/04,読　売,阪　神,10,1
2019/04/04,東京ヤクルト,横浜DeNA,5,10
2019/04/04,中　日,広島東洋,3,2
2019/04/04,東北楽天,北海道日本ハム,11,2
2019/04/04,埼玉西武,千葉ロッテ,8,6
2019/04/04,オリックス,福岡ソフトバンク,0,3
2019/04/05,東京ヤクルト,中　日,8,7
2019/04/05,横浜DeNA,読　売,2,3
2019/04/05,広島東洋,阪　神,2,3
2019/04/05,北海道日本ハム,埼玉西武,5,2
2019/04/05,オリックス,東北楽天,2,0
2019/04/05,福岡ソフトバンク,千葉ロッテ,3,7
2019/04/06,東京ヤクルト,中　日,4,3
2019/04/06,横浜DeNA,読　売,9,2
2019/04/06,広島東洋,阪　神,10,3
2019/04/06,北海道日本ハム,埼玉西武,3,16
2019/04/06,オリックス,東北楽天,3,1
2019/04/06,福岡ソフトバンク,千葉ロッテ,3,7
2019/04/07,東京ヤクルト,中　日,1,3
2019/04/07,横浜DeNA,読　売,5,1
2019/04/07,広島東洋,阪　神,0,9
2019/04/07,北海道日本ハム,埼玉西武,2,4
2019/04/07,オリックス,東北楽天,5,5
2019/04/07,福岡ソフトバンク,千葉ロッテ,11,1
2019/04/09,中　日,読　売,1,3
2019/04/09,阪　神,横浜DeNA,12,8
2019/04/09,広島東洋,東京ヤクルト,1,10
2019/04/09,埼玉西武,東北楽天,6,7
2019/04/09,千葉ロッテ,オリックス,5,4
2019/04/09,福岡ソフトバンク,北海道日本ハム,3,3
2019/04/10,中　日,読　売,3,2
2019/04/10,阪　神,横浜DeNA,0,2
2019/04/10,広島東洋,東京ヤクルト,3,15
2019/04/10,埼玉西武,東北楽天,5,7
2019/04/10,千葉ロッテ,オリックス,,
2019/04/10,福岡ソフトバンク,北海道日本ハム,2,3
2019/04/11,阪　神,横浜DeNA,2,5
2019/04/11,広島東洋,東京ヤクルト,2,6
2019/04/11,千葉ロッテ,オリックス,1,2
2019/04/11,福岡ソフトバンク,北海道日本ハム,5,2
2019/04/12,読　売,東京ヤクルト,6,1
2019/04/12,横浜DeNA,広島東洋,6,0
2019/04/12,阪　神,中　日,4,9
2019/04/12,北海道日本ハム,千葉ロッテ,4,1
2019/04/12,東北楽天,福岡ソフトバンク,4,2
2019/04/12,埼玉西武,オリックス,1,0
2019/04/13,読　売,東京ヤクルト,6,11
2019/04/13,横浜DeNA,広島東洋,1,6
2019/04/13,阪　神,中　日,2,10
2019/04/13,北海道日本ハム,千葉ロッテ,3,0
2019/04/13,東北楽天,福岡ソフトバンク,0,1
2019/04/13,埼玉西武,オリックス,3,10
2019/04/14,読　売,東京ヤクルト,6,11
2019/04/14,横浜DeNA,広島東洋,4,2
2019/04/14,阪　神,中　日,5,2
2019/04/14,北海道日本ハム,千葉ロッテ,3,1
2019/04/14,東北楽天,福岡ソフトバンク,1,6
2019/04/14,埼玉西武,オリックス,11,3
2019/04/16,読　売,広島東洋,8,2
2019/04/16,東京ヤクルト,阪　神,9,5
2019/04/16,中　日,横浜DeNA,7,1
2019/04/16,東北楽天,埼玉西武,5,4
2019/04/16,千葉ロッテ,福岡ソフトバンク,6,0
2019/04/16,オリックス,北海道日本ハム,9,0
2019/04/17,読　売,広島東洋,4,5
2019/04/17,東京ヤクルト,阪　神,2,2
2019/04/17,中　日,横浜DeNA,3,1
2019/04/17,東北楽天,埼玉西武,7,4
2019/04/17,千葉ロッテ,福岡ソフトバンク,1,0
2019/04/17,オリックス,北海道日本ハム,6,4
2019/04/18,東京ヤクルト,阪　神,5,13
2019/04/18,千葉ロッテ,福岡ソフトバンク,5,2
2019/04/18,オリックス,北海道日本ハム,3,7
2019/04/19,中　日,東京ヤクルト,4,2
2019/04/19,阪　神,読　売,4,12
2019/04/19,広島東洋,横浜DeNA,2,1
2019/04/19,東北楽天,オリックス,4,5
2019/04/19,埼玉西武,福岡ソフトバンク,0,2
2019/04/20,中　日,東京ヤクルト,3,5
2019/04/20,阪　神,読　売,0,2
2019/04/20,広島東洋,横浜DeNA,9,2
2019/04/20,東北楽天,オリックス,5,3
2019/04/20,埼玉西武,福岡ソフトバンク,6,4
2019/04/20,千葉ロッテ,北海道日本ハム,3,1
2019/04/21,中　日,東京ヤクルト,7,5
2019/04/21,阪　神,読　売,0,3
2019/04/21,広島東洋,横浜DeNA,7,4
2019/04/21,東北楽天,オリックス,7,3
2019/04/21,埼玉西武,福岡ソフトバンク,5,16
2019/04/21,千葉ロッテ,北海道日本ハム,1,2
2019/04/22,福岡ソフトバンク,オリックス,3,1
2019/04/23,東京ヤクルト,読　売,0,9
2019/04/23,横浜DeNA,阪　神,3,8
2019/04/23,広島東洋,中　日,3,2
2019/04/23,北海道日本ハム,東北楽天,1,4
2019/04/23,千葉ロッテ,埼玉西武,9,9
2019/04/24,東京ヤクルト,読　売,2,7
2019/04/24,横浜DeNA,阪　神,1,3
2019/04/24,広島東洋,中　日,5,0
2019/04/24,北海道日本ハム,東北楽天,15,5
2019/04/24,千葉ロッテ,埼玉西武,1,4
2019/04/24,福岡ソフトバンク,オリックス,2,3
