date,home,away,hscore,ascore
2021/04/20,福岡ソフトバンク,東北楽天,6,4
2021/04/21,読　売,阪　神,3,2
2021/04/21,横浜DeNA,中　日,1,7
2021/04/21,広島東洋,東京ヤクルト,1,1
2021/04/21,千葉ロッテ,北海道日本ハム,6,5
2021/04/21,オリックス,埼玉西武,4,2
2021/04/21,福岡ソフトバンク,東北楽天,4,1
2021/04/22,読　売,阪　神,8,3
2021/04/22,横浜DeNA,中　日,0,1
2021/04/22,広島東洋,東京ヤクルト,4,7
2021/04/22,千葉ロッテ,北海道日本ハム,1,3
2021/04/22,オリックス,埼玉西武,7,6
2021/04/23,読　売,広島東洋,2,1
2021/04/23,東京ヤクルト,中　日,6,4
2021/04/23,阪　神,横浜DeNA,1,7
2021/04/23,北海道日本ハム,オリックス,1,6
2021/04/23,東北楽天,埼玉西武,2,2
2021/04/23,千葉ロッテ,福岡ソフトバンク,2,3
2021/04/24,読　売,広島東洋,3,6
2021/04/24,東京ヤクルト,中　日,4,3
2021/04/24,阪　神,横浜DeNA,13,1
2021/04/24,北海道日本ハム,オリックス,5,3
2021/04/24,東北楽天,埼玉西武,2,1
2021/04/24,千葉ロッテ,福岡ソフトバンク,11,9
2021/04/25,読　売,広島東洋,8,9
2021/04/25,東京ヤクルト,中　日,4,3
2021/04/25,阪　神,横浜DeNA,7,5
2021/04/25,北海道日本ハム,オリックス,4,4
2021/04/25,東北楽天,埼玉西武,8,4
2021/04/25,千葉ロッテ,福岡ソフトバンク,8,5
2021/04/27,東京ヤクルト,読　売,11,14
2021/04/27,中　日,阪　神,2,1
2021/04/27,広島東洋,横浜DeNA,10,1
2021/04/27,埼玉西武,千葉ロッテ,3,1
2021/04/27,オリックス,東北楽天,5,5
2021/04/27,福岡ソフトバンク,北海道日本ハム,2,7
2021/04/28,東京ヤクルト,読　売,3,7
2021/04/28,中　日,阪　神,6,1
2021/04/28,広島東洋,横浜DeNA,2,13
2021/04/28,埼玉西武,千葉ロッテ,3,2
2021/04/28,オリックス,東北楽天,0,0
2021/04/28,福岡ソフトバンク,北海道日本ハム,3,4
2021/04/29,中　日,阪　神,2,6
2021/04/29,広島東洋,横浜DeNA,3,5
2021/04/29,埼玉西武,千葉ロッテ,2,5
2021/04/29,福岡ソフトバンク,北海道日本ハム,2,1
2021/04/30,読　売,中　日,2,3
2021/04/30,横浜DeNA,東京ヤクルト,0,4
2021/04/30,阪　神,広島東洋,4,2
2021/04/30,北海道日本ハム,埼玉西武,1,5
