date,home,away,hscore,ascore
2020/06/19,読　売,阪　神,3,2
2020/06/19,東京ヤクルト,中　日,7,9
2020/06/19,横浜DeNA,広島東洋,1,5
2020/06/19,埼玉西武,北海道日本ハム,3,0
2020/06/19,オリックス,東北楽天,1,9
2020/06/19,福岡ソフトバンク,千葉ロッテ,2,1
2020/06/20,読　売,阪　神,11,1
2020/06/20,東京ヤクルト,中　日,6,2
2020/06/20,横浜DeNA,広島東洋,5,10
2020/06/20,埼玉西武,北海道日本ハム,1,2
2020/06/20,オリックス,東北楽天,1,2
2020/06/20,福岡ソフトバンク,千葉ロッテ,2,3
2020/06/21,読　売,阪　神,7,1
2020/06/21,東京ヤクルト,中　日,0,3
2020/06/21,横浜DeNA,広島東洋,2,1
2020/06/21,埼玉西武,北海道日本ハム,2,12
2020/06/21,オリックス,東北楽天,4,0
2020/06/21,福岡ソフトバンク,千葉ロッテ,1,5
2020/06/23,読　売,広島東洋,3,2
2020/06/23,東京ヤクルト,阪　神,1,4
2020/06/23,横浜DeNA,中　日,3,0
2020/06/23,東北楽天,北海道日本ハム,4,0
2020/06/23,埼玉西武,福岡ソフトバンク,11,3
2020/06/23,千葉ロッテ,オリックス,6,5
2020/06/24,読　売,広島東洋,1,5
2020/06/24,東京ヤクルト,阪　神,6,1
2020/06/24,横浜DeNA,中　日,3,2
2020/06/24,東北楽天,北海道日本ハム,5,2
2020/06/24,埼玉西武,福岡ソフトバンク,6,9
2020/06/24,千葉ロッテ,オリックス,6,4
2020/06/25,読　売,広島東洋,5,5
2020/06/25,東京ヤクルト,阪　神,3,1
2020/06/25,横浜DeNA,中　日,10,2
2020/06/25,東北楽天,北海道日本ハム,5,8
2020/06/25,埼玉西武,福岡ソフトバンク,2,4
2020/06/25,千葉ロッテ,オリックス,5,0
2020/06/26,東京ヤクルト,読　売,5,6
2020/06/26,横浜DeNA,阪　神,6,0
2020/06/26,中　日,広島東洋,1,4
2020/06/26,東北楽天,北海道日本ハム,7,1
2020/06/26,埼玉西武,福岡ソフトバンク,7,4
2020/06/26,千葉ロッテ,オリックス,6,5
2020/06/27,東京ヤクルト,読　売,9,6
2020/06/27,横浜DeNA,阪　神,6,8
2020/06/27,中　日,広島東洋,6,1
2020/06/27,東北楽天,北海道日本ハム,18,4
2020/06/27,埼玉西武,福岡ソフトバンク,8,7
2020/06/27,千葉ロッテ,オリックス,2,1
2020/06/28,東京ヤクルト,読　売,0,12
2020/06/28,横浜DeNA,阪　神,9,1
2020/06/28,中　日,広島東洋,3,10
2020/06/28,東北楽天,北海道日本ハム,4,6
